,author,content,dt,title
779,Chrysanthepop,"Until May 2008, the few releases this year that I've seen ranged from below average to downright rubbish with the exception of two movies. One being 'Iron Man'. This is the movie we have been waiting for this year. So does it match up to expectations? Hell yes! On the surface, 'Iron Man' isn't very different from other superhero films but on the other hand it isn't like any other superhero movie. This one has rich characters, it perfectly blends humour, drama, action and it has heart, all of which are presented on screen in a wonderful way that keeps the viewer staring at the screen right till the end. The writing is great as 'Iron Man' sticks to the main story all the way. I liked how Downey Jr's Tony Stark grows from this carefree business-minded tech-tycoon who's only concern is Stark Industries to a man with a mission to save the world and in the process he still stays the same person as he maintains his sense of humour, his courage and his integrity. The dialogues, especially Starks's one-liners are sharp, witty and funny. This movie is an introduction to the famous title character thus those expecting only action from start to end (like 'Transformers') may be disappointed to an extent. But for me there was enough action along with substance to make it a hugely enjoyable experience.Jon Favreau is proving to be a more versatile director and his impressive filmography, both as actor and director, prove that he's experimented with different kinds of cinema. 'Iron Man' wouldn't have been an easy film to direct but Favreau does a magnificent job. The CGI is excellent as I loved how much attention was given to detail and how the viewer is shown every step of the making of Iron Man. Of course, there's some humour added to lighten up the mood instead of technologically overloading the viewers.'Iron Man' is just the movie that Robert Downey Jr. needed and it couldn't have come at a better time. At a time, when this talented actor's performances were hardly getting enough notice, 'Iron Man' brings him back to recognition. After seeing him, one would conclude that the part was made only for Downey Jr. His dialogue delivery seems so natural that it would be hard to tell whether he was acting, if the scenes were taken out of context. I don't think Gwyneth Paltrow has ever looked better. Though the role does not allow her to really stretch her acting, Potts isn't just a typical superhero's dame. She is Tony's confidant and the one who supports him through thick and thin. Paltrow provides the necessary charisma, sex appeal and soul that makes Pepper Potts shine and she shares a sizzling chemistry with her male lead. Terrence Howard has a smaller role as Tony's good friend but there's a hint that he might have a more prominent role if a sequel is made. Finally, there's Jeff Bridges as the villain. An odd yet brilliant choice as the actor is refreshing and like his costar, he too needed an 'Iron Man' to give his career a boost.I noticed that some people were complaining that Muslims/Middle Easterners were portrayed as bad guys just like in any other American movie but I would like to state that this is no 'Vantage Point'. Here, these people weren't portrayed as terrorists working on their own but as men hired for a specific reason (I won't say more to give away spoilers). So I just thought to briefly clarify that this is no anti-Islamic or anti-anything (except, well okay, anti-weaponry) movie. It's a movie for everyone.Perhaps the story itself isn't anything novel which is what makes it somewhat similar to other superhero movies, but the treatment of it and its execution is quite unique. Add to that a fine cast and dazzling special effects among many things, this is the summer movie experience I've been waiting for in 2008. I wonder what else this summer has to offer as I doubt that it would succeed in providing anything close to the sheer entertainment of 'Iron Man'.",9 May 2008," Move Over Superheroes, Iron Man Is Here
"
780,erinandvictor,"This was a great movie. I am a huge Downey fan, but was really unsure about him playing a super hero especially a guy in his 40's. I can say that because I'm right there with him. He was amazing. I normally don't like these kinds of movies and wouldn't have gone to it if I hadn't known someone who was an extra, but I am so glad I did. Jeff Bridges was so good, I'm having a hard time with him being bald, but it was a good move. My only complaint, was Gwyenth Paltrow. She was horrible, it was like she was really trying to play the part, she half-you know. But other than that it was great. Special effects, whoa.Good job.",1 May 2008," Go See this
"
781,g-bodyl,"Iron Man is one of the better superhero movies. It's based off the popular Marvel comics. On one of the reviews, I was shocked to see that the person liked the new Hulk better. I agree that Hulk is a great movie, but Iron Man is 100 times better. Tony Stark, a popular weapons company owner gets kidnapped by a cult called ""Ten Rings"" in the Middle East. They want Stark to build a weapon for them. Instead he builds his Iron Man suit. He eventually escapes and later becomes Iron Man. Will he have revenge on the cult and it's surprising leader? You'll have to watch to find out. The acting is better than expected in this film. Robert Downey Jr. did such a unexpected great job. Gwyneth Paltrow did well as her role of Pepper Potts. I also liked Terrence Howard as Rhodey. The special effects were great as they are with superhero movies. The plot has its share of intriguing twists. I believe that this Iron Man is original, but that is my opinion. I rate this movie 10/10.",17 November 2008," Great Movie!
"
782,MisterWhiplash,"Iron Man is about as close to perfect popcorn entertainment as we can expect in this beginning of the summer season. But at the same time perfect in a certain sensibility of entertainment for its audience. One should know what Tony Stark's as a character not exactly the usual 'with great power come great response-yada-yada-yada' thing. He has a more jaded attitude, slightly more cynical than your typical man-of-steel (wait, sorry, iron, or alloy as it is). I'm almost reminded a little of Bill Murray from Ghostbusters, only with the catch of him being like Bruce Wayne without the grieving dead parents aspect.He has lots of money, lots of technical know-how as a wonder-kid/multi-millionaire, and he drinks and gambles and sleeps with whomever he wants. We as the audience don't identify with him as average Joe- some of us would want to be him for all the hedonistic perks available. And, when the time comes, he can whip up a technological breakthrough under the most dire of circumstances (i.e. under pressure of death to make a weapon for terrorists and instead making his quintessential suit).But at the same time, when Tony Stark becomes Iron Man, he does have a level of conscience from the start, realizing that the company that is under his name (if not one he entirely runs) has been manufacturing big-time weapons of mass mayhem (dont want to put destruction in there, though it's pretty much that), and wants to not want this any longer. Instead, basically, he takes matters into his own hands as some fantastical figure; instead of some army to take out insurgent terrorists in Afghanistan, he'll come and wipe em out in a jiffy. In this sense it's pure escapism, but also hitting on current issues (in the comic books it was similar terrain with him practically taking out Vietcong every which way). True, it might be much to imagine, but in the realm of a comic book movie, where we're already on the train of massive entertainment and being along for the ride of this character who can do what he does because he's that damn good.It's a thrill-ride, and it's very funny for much of the running time. And not unintentionally so like in, for example, Ghost Rider. It's genuinely hysterical to see certain things that make sense for Stark but are still wildly over the top in delicious ways (i.e. the strippers on the plane, yeah you read that right), or in just little things with how Robert Downey Jr. plays it. And make no mistake, this is pretty much a textbook example of perfect casting for a tricky character like this to cast. You want the charisma and appeal of a leading man, but can he also have something to him that speaks of the moral ambivalence and seedier bits to the character? You can't do it with a George Clooney, but with Downey Jr. it's a match made in not-guilty-pleasure heaven. He's able to bring the audience for the ride as a strong hero, but also hint at the fact that he's playing this character for what he is, and not cheating or skipping around the edges. Without him, it wouldn't work anywhere near as well.But to give director Favreau some more credit where it's due, also should be noted the near coup of casting Jeff Bridges as the villain - and as a character who is, basically, the ""anti-dude"" as it were - a dastardly figure who runs all of the shady dealings of Stark Industries and reveals his hand at wanting total domination of Stark's technology for his own means. His is a performance to relish among the great comic-book villain turns. But also noteworthy are supporting players: Gwyneth Paltrow, where'd she come from for this part that works this well? Terence Howard as well, and a couple of other supporting parts, they all seem to click just as well.Which brings me to the director, who should get credit where it's certainly due; coming from work as an actor/writer, going up through Made, Elf, and the recent bomb Zathura, it's a remarkable achievement to pull this kind of work off. While it goes without saying the script is already set for him to go, he doesn't tinker with it or his style to make it any more aggressively stylish than it needs to be. His is slick, efficient film-making, and even with witty moments to match up the bigger audience laughs (watch how he keeps the camera still through the POV of the lens Stark has up filming his botched 'test' in his rockets). For all the praise that Downey (very rightfully) will get for his work here, Favreau's is probably just as noteworthy in mixing rousing thrills and blockbuster entertainment and action while shamelessly delivering on the cynical side of the story. Just the final line, and how its delivered and in the context, is worth the price of admission.Oh, and by the way, stay through the end credits. If you're geeky about anything Iron Man (or awesome actors in eye-patches), you'll leave with a huge grin from ear to ear.",2 May 2008," supreme comic-book entertainment; it's also more jaded, and funnier, than most in its genre
"
783,xZachx28,"This Film is Easily the best Comic to film adaptation there is period. The Acting is great and Downy Jr. is perfect for the role of Tony Stark. The CGI is the best I have seen and rivals Transformers, and thats an achievement in itself. The story is well put and the mixture of humor, action, and a little drama is just epic.I have been a Iron-man fan boy for 10 years now and Im very pleased to say this movie does everything right. If you didn't enjoy this movie, you are not paying enough attention. It defeats the X-men, Ghost Rider, Fantastic four, Bat-man, and all other Super hero based movies with ease.I recommend this film to the highest degree and its a must see. Easily the best movie of 08.10-10 But remember, this is just my opinion.",24 April 2008," An Amazing Movie in all respects....Movie and Comic wise!
"
784,pyrocitor,"With comic book films becoming an increasingly common component of the summer blockbuster season, the question emerges: how to make a mark as unique in the midst of so much superpowered competition while still holding true to the elements which made the originals such successes in the first place? It would seem director Jon Favreau has found the answer. From the opening chords of AC/DC's ""Back in Black"" it becomes instantly apparent that Iron Man is going to be a different kind of comic book movie. Instead of the filmmaker's usual aspirations to have the source material adapted as darker and grittier than its comic book origins could ever have been, Favreau is not afraid to embrace a very much needed sense of fun without descending into the rampant silliness which consumed Tim Story's Fantastic Four. As such, Iron Man essays a superb balance between embracing every last enjoyable detail while maintaining the gravitas and complexity of its original story and characters, a seamless melding of intelligence and action clout. What really sells the film is its intelligent script, with a series of astutely crafted lines a far cry from the usual clunking variety which could have been conceived by the average six year old boy. Favreau's Robert Altman influence also leads to some highly enjoyable improvisations on top of the scripted material (Downey Jr.'s exchanges with his robotic helpers are priceless). Similarly. by updating Stark's backstory from Vietnam to a more topical Afghanistan, the film has added political poignancy, making some intriguing tongue in cheek comments about the American military. While the occasional lapse in realism and occasionally conventional character motivations may prove problematic to some, such are easily excusable considering the medium from which the story is faithfully adapted, and Favreau's solid directing outweighs such inconsequential concerns with a sheer unabashed sense of enjoyment and unfiltered movie magic. Though the bulk of the story is dedicated to the usual origin tale, Favreau by no means skimps on the jaw-dropping action setpieces, generating some genuinely gripping and tense sequences (Stark's capture in Afghanistan is visceral and engrossing) as well as the requisite adrenaline pumping exhilarating ones - Stark's testing of his Mark One armour to escape captivity is full throttle entertainment and the final showdown is easily the show stopping setpiece of the year thus far. The film's flawless special effects are perfectly executed, used to full effect without ever swamping the picture. The Iron Man armour itself both looks and sounds brilliant, a clanking cacophony of assembled parts coming together for a heart pumping streamlined exterior. Similarly, the musical score, while not the most original, provides some suitably heroic themes and proves enthralling in its own right. Enough praise cannot be bestowed upon Robert Downey Jr., who, overcoming every last inch of apprehension over his casting, is by far the key element to Iron Man's standing out from the waves of other superhero films. Delivering one of the strongest performances in his formidable career, Downey Jr. effortlessly inhabits every last contradictory inch of Tony Stark like the pristine suits the character himself dons. Putting his own unorthodox spin on the character through his wisecracking, motormouthed energy, Downey Jr. still stays true to the spirit of Stark and his darker overtones, even making the transition from callous, arrogant billionaire weapons vendor to iron clad humanitarian feasible through his extraordinary charisma and gleaming, passionate intensity. To say that Downey Jr. is perfect for the role is an understatement; a testament to the use of quality actors for bringing immortalised comic book figures to life instead of ham-handed fresh young faces chosen for looks over talent. While the rest of the cast cannot quite match up to Downey Jr.'s dynamo of a performance, all prove equally adept in adapting their comic book incarnations in a plausible fashion. Terrence Howard delivers an appropriately curt dignity to Stark's military ally Jim 'Rhodey' Rhodes, adding the perfect clipped acerbic deadpan to the character. Similarly, Gwyneth Paltrow makes a surprisingly convincing potential love interest as Stark's personal assistant Pepper Potts, her natural charisma and share of icy comebacks easily proving a superb foil to Downey Jr.'s livewire of a performance. Jeff Bridges moulds his usual laid back image into one of a despicably greedy businessman concealing his shockingly selfish dealings under a veneer of oily respectability, his unconventional performance easily overcoming the trappings of his otherwise conventional villain figure. Shaun Toub is charming as Yinsen, the mysterious scientist who saves Stark's life in Afghanistan and helps him construct his first suit of armour, with Toub's irreverent edge preventing the role from becoming a stock ""mentor"" figure. Simply put, Iron Man is everything a comic book movie could hope to be: a perfect balance between the grittily serious and exuberantly enjoyable, flawless special effects and a roster of incredible performances. Iron Man proves an example of the quintessential blockbuster: one not afraid to think while simultaneously bludgeoning with entertainment - for those in search of entertainment without jeopardising brain cells, Iron Man should prove just the thing. -10/10",8 May 2008," Everything one could hope for in a superhero blockbuster
"
785,pop_cornz,"Iron Man is not like other superhero films we have come to know. Unlike, batman, superman and spider-man, Iron Man does not suffer from mental illnesses. He doesn't stalk his girlfriend, pine over his dead uncle, or wish his parents hadn't got shot when he was a kid. Iron Man, just wants to kill bad guys. Another flattering aspect of Iron Man, is his lack of an alter ego. We don't have to watch in panic as Iron Man quickly gets on his iron suit before someone sees him changing. Instead, he boasts ""I AM IRON MAN"". Another very enjoyable aspect of the Iron Man film, is the setting. Not in a fictional city where the crime rate needs to be high, but in Afghanistan where it actually is. Bottom Line, Iron Man kills people. Nuff said. When did Spiderman, Batman or Superman last kill someone? Pussies! Iron Man is not a pussy.",9 May 2008," A superhero who isn't a pussy is a refreshing change
"
786,J_Jammer,"JJ Rating: A+ Billionaire Tony Stark (Robert Downey Jr.) of Stark Enterprises visits Afghanistan to show off his new weapon. Upon being attacked by rebels he sees his weapons were in their hands. They kidnapped him and wanted him to make them a weapon, but instead he creates a suit that will evolve him into Iron Man.It's another billionaire hero. In this case one that is more deviant than the Bat and far wittier than the Spider. Iron Man is exactly that: he's a man's man. He sleeps around, he drinks and he is cockier than necessary and he doesn't even get paid millions to play a sport. Well he gets billions to create inventive weaponry for America.Iron Man was never my cup of tea. But when I heard that Robert Downey Jr. was going to play him I was sure that if there ever was a thing like cinematic perfection, that that was it. From that point on I was excited to see the film. What would I want more from this film? I can't really think of anything. It's not perfect but what movie is? It's just really good. I wanted to see the Black Widow somehow but that was not going to happen. I'm really pleased with the after credits scene. STAY AFTER THE CREDITS.What did I love about the film? Iron Man's suit. That suit was so freaking cool. I loved the way it looked, how it was put on, what it looked like in flight, how it sounded when it moved about, how it looked when it was damaged. It was just wow. I liked how Iron Man was just intelligent and figured out to do the practical thing without taking too much time to moralize everything. I like the wit of Tony Stark and how Robert Downey Jr. just perfectly fit the role as if he were born to play it.Terrence Howard mad a great Rohdey. As-a-matter-of-fact there were several scenes that just make a comic nerd giddy. Count them off, if you can. Jeff Bridges was intimidating and imposing as he needed to be to play Obadiah. Gwyneth Paltrow was Pepper Potts and had the charm and smile to pull it off. I liked the way she walked to. It might have had something to do with her shoes, but still it seemed so intentional for the character and it worked.The story progressed at an even pace and allowed for the development of the entire story within the allotted time. Jon Favreau (who also played the driver who, in the comics, becomes Pepper's love interest) did an iron clad job of directing. He knew what he wanted and executed it and it came out beautifully.The C.G.I. work was eye candy for the super soul. That Iron Man get up was just marvelous. The battles between Iron Man and anyone else was done well. There was not too much and there was not too little. Just like baby bear's porridge. The C.G.I. even helped with some humor moments that were littered throughout the film either by visual gags or witty lines; humor was not missing from the banter heighten Stark.Iron Man, the superhero, is a fine balance of cocky, womanizing, billionaire war mongrel with a touch of heroics all rolled into one likable man. It is simply a work of art. Normally such a person is the villain and not well liked, but not only is he liked in the comic books he's liked in the movie and that is thanks to Robert Downey Jr's portrayal.I was impressed. This is the first movie that Marvel has financed themselves and let's just sayit works magical wonders for them to have more power.There is no question that I will get Iron Man when it comes out on DVD. There is also no question that this will be the number one movie of the weekend and I even guessed that it would make a little over the amount of money it cost to make it. So I'm going to guess about $165 million dollars. Though because of Grand Theft Auto 4 it might be lower, a lot lower or so the nay sayers would scream. Iron Man is the nity-gritty hero, the one that is all bare on who he is and what he wants; he is Marvel's Stark Superhero and Iron Man is the start of a beautiful movie franchise.",3 May 2008," ""Iron Man"" the Stark Superhero of Marvel
"
787,Allan Trainer,"Had I been the producer of this film I would never have cast Downie in the role of Tony Stark, and what a mistake that would have been. Robert Downie Jr gave an amazing depiction of Stark that was totally true to the character as envisioned by his creator and along with Jeff Bridges and Gweneth Paltro to name a few the cast did a brilliant job of bringing the Iron Man story to life. The story line was well thought out and flowed like a mountain stream, the balance between action and humour was as close to perfect as could ever be wished for, the entire film was engaging from start to finish even the music couldn't be faulted and as for the props, I really want an Audi R8 of my own now. This was one film that left the viewer begging for more and the last line (pre credits that is) no-one could fault that one. Brilliant work, lets hope the sequel is as good but the bar has been set pretty high by this first outing. The Commander",1 February 2009," Brilliant
"
788,SubZeroMK,"I was hyped for the movie when it was on the internet as news. I wasn't the biggest fan of Iron-Man at the time, but I always liked Robert Downey Jr., because he's a phenomenal actor. Not only that, but having Jon Favreau on board made me want to watch this film even more. He's a great comedic actor, and would seem like a cool buddy to hang out with.So I went in there with high expectations and I came out very satisfied at what I just had seen. I couldn't think of anyone else who could play Iron-Man better than Robert Downey. Thanks to this film, I put Iron-Man at the second spot in my favorite super-hero list. Blade comes first.Of course I bought the blu-ray version of the movie, watched all the special features and it was great. The action was great, it was planned out where it was needed. Jeff Bridges also did a great job on his character, acting as a mentor and then as Iron-Man's enemy. He didn't like to put up with the selfish rich guy, I get it, no one likes that.Overall, a 10/10 for creativity. Now, I'm anxious for the sequel, and you know what they say about sequels, they're always the best ones in the series.",31 May 2009," Iron-Badass
"
789,lopcar1993,"Iron-Man, one of the greatest superheros that has ever graced the comic book scene has finally mad it to the big screen in ones of the best and most successful comic book adaptions ever made, Iron-Man proves to the world that he's a hero that's built and not born.Iron-Man stars Robert Downey, Jr. as Tony Stark an ultra rich, genius weapons designer who has everything he wants and nothing at all, while Tony is demonstrating a new weapons of his he is captured by a group of terrorist who want him to build the very same weapon, now Tony has to use all his wits and genius to get out alive and his escape comes in a very familiar way, a high tech suit of armor made by him and his captive friend and assistant Yin sin.After Tony returns to civilization he decides not to make weapons anymore and uses his new found suit of armor to protect the innocent from the terrors of the world.Iron-Man is a high tech, high flying sci-fi action comedy that won't let you down until the movies over, Jon Favreau brings his own style to an old friend and turns Iron-Man into a truly jolting and explosive experience that you just can't miss. This film succeed beyond everyone's expectations, no one thought that Robert Downey, Jr. could carry this movie, much less alone portray a hero that's been in our consciousness for over 40 years. But amazingly he pulls off an outstanding performance that's sure to make you accept him as Iron-Man for years to come, this movie is exciting, daring, funny & witty and is a perfect treat for comic book fans alike. Iron-Man is still and will always be one of the best hero's out there hands down.",31 March 2009," One of the best comic book adaptions around!!
"
790,Ed Ellks,"This is one movie I enjoy watching multiple times. Personally, I think it's the best of the three, and marginally better than The Avengers. It has a really strong sense of cohesion and grittiness throughout the movie which really draws the viewer in. They really do a good job of making you love and hate Tony Stark, all at the same time. The special effects are awesome, especially on Blu-Ray.Iron Man 2 was pretty good, 3 was rubbish (in my opinion.) Before you watch this, make sure you have your snacks and drinks ready because you won't want to get up and leave during any piece of this movie.",12 June 2014," One of the best action movies ever made
"
791,alindsay-al,"It's quite funny that were almost near the end of phase 2 in the marvel cinematic universe but iron man the first film is still the very best solo marvel film. The premise sees a billionaire weapons merchant who is on the verge of death and kidnapped by terrorists until he creates a suit to escape. When he gets home he changes his philosophy and decides to become the superhero iron man. Robert Downey jnr was saved by this performance and it really has changed his career for the better. His dialogue is funny and witty and the smart thing the film did was as he changed you still loved him because of his whit and I love his character. The supporting cast is also fantastic especially the relationship between Downey and Gwyneth paltrow who plays pepper Potts. I have thought that this is the best romance in a comic book film franchise ever and their chemistry in this film is great and a big part of the film. There has been allot of controversy over Terrence Howard's involvement as James Rhodes but he is great in the role and his relationship with Tony is a big part about the mortality of the film. Jeff bridges plays obediah stane and he does well in his villainous role and his chemistry is really good with Tony. The story is really good as it shows a man change and decide to do what is right. Also even though this film is called iron man I believe that it is clear that this film is about the man and not the suit. The only negative I have ever heard about this film is that the film slows down when we get the cave scenes. However, I believe that these are great and they are real character building scenes for the lead. The script is really good especially with downeys dialogue feeling natural and is just hilarious. Everybody has great pieces of dialogue that really works for this film. The style is great with the look and the designs for the suit looking great. Also the action scenes are really smooth and slick which allows you to see it all. Overall it is fantastic and a great film to start the mcu.",23 May 2014," a masterpiece to truly kick off the marvel cinematic universe
"
792,scooter12589,"""Great, all that's on is Iron Man."" I said to my friend. We had missed the show time for the movie I had wanted to see. Upon first seeing a trailer for Iron Man I had low expectations. Just another poorly made comic book adaptation. It will be full of poor acting, crappy computer effects, and lots of action to overcome the lack of writing. Boy, I was wrong. Iron Man completely blew my expectations out of the water. Through the impeccable choice of characters, well placed action, and great mix of CGI: this summer's greatest action movie Iron Man is sure to please.Robert Downey Jr. is a hell of an actor. If not for him I am not sure I would have made it through Iron Man. It is rare that you find an actor that fits a role so well you forget he is an actor and think of him almost exclusively as the character. That is exactly what Downey brings to this movie. ""Is it better to be feared or respected? And I'd say is it too much to ask for both?"" and ""They say the best weapon is one you never have to fire. I prefer the weapon you only need to fire once. That's how dad did it, that's how America does it, and it's worked out pretty well so far."" These lines are delivered so genuinely and uniquely by Downey, you can't help but develop a relationship with his character Tony Stark that last throughout the movie.Often times when a screenplay writer can't write a good plot and can't write convincing dialog, they add copious amounts of action. Somehow, they have conceived the notion that if we are overwhelmed with action we won't notice how bad the movie is. However the audience is becoming smarter and no longer easily duped by such tactics. Iron Man did not resort to this. There is action in Iron Man, lots of action. But it is very well written and weaved perfectly into the story so as to enhance it. Iron man starts out with an attention grabbing fight scene. This is followed by many minutes without a giant fire fight where we get to know our protagonist; we bond with him and empathize with him. From then on the action and fight scenes are used sparingly till we arrive at the final fight scene between the protagonist and the antagonist.Several great advances have come to the movie industry from computer technology. One of these is computer generated imagery (CGI). CGI has allowed directors and writers to add elements to movies that were once though to be impossible, either due to price or far fetched ness. One complaint audiences usually voice is that is it too unrealistic. Not the case with Iron Man. The limited CGI use complements the movie well. Iit allows the viewer to vividly see exactly what the director and writers wanted you to see. All of this was accomplished without being annoying and causing the audience to be distracted by the effects.It is rare that a really good action movie based on a comic book comes along. Iron Man is one of those movies. Ann Hornaday of the Washington Post writes that it is full of generic fireballs and that some of the actors need to be cleaned up to make it as a sequel. I disagree. This summer's greatest action movie Iron Man is sure to please through the impeccable choice of characters, well placed action, and great mix of CGI. On a scale of five stars, I would give Iron Man five stars. I enjoyed this action movie so much I might have even paid for it!",5 May 2008," Downey Delivers
"
793,RikerDonegal,"After Superman, I believed that a man could fly. Now I believe that a man can redeem himself, no matter how badly he's fraked up in the past.And I could not be happier that they choose Robert Downey Jr. to carry this message. It works because it's his story, and it shows that he knows this. His heart is in every frame of this movie, his heart is in every word he utters, and your heart will be in the movie, too.It's a cool movie, with lots of things blowing up and stuff like that. But, it's a well-told human story first and foremost. If the X-Men movies strike a chord, it's because each one of us have known the pains of isolation and exclusion. If the Spider-Man movies strike a chord, it's because we all know the little fears and frustrations that drive our daily lives. And Iron Man? Iron Man is aimed at those of us who have made mistakes in the past and want to redeem ourselves.And, it strikes a chord. Believe me, it strikes a chord. A+ http://yetanotherfilmreviewblog.blogspot.com/",1 May 2008," Superb!
"
794,Eric Idol,"Caught a sneak of this movie last night. Downey Jr is perfect as Tony Stark. PERFECT. I know that Vince Vaughn could have played Stark too, but casting Downey was a gamble that really paid off. He is hysterical! Gwenneth Paltrow actually smiles and is HOT. Special effects are amazing and not overdone. Great script too! The movie doesn't have a slow moment. ""The Dude"" is so opposite of The Dude. Dare I say it...I think it is better than Transformers.You do not have to know anything about the comic book to thoroughly enjoy this film. The only complaint I have is the blatant product placement from Burger King and Audi. Ask yourself this: If Audi's are such great cars, why are there no old ones still on the roads?",29 April 2008," Ironman and The Dude
"
795,psycho_mantis,"It had to happen some day... We all knew the comics where to small for the likes of spider-man, wolverine and batman... they would go to the big screen... some day... DC did it first with their superman and batman movies...marvel was falling behind in the race before they even stepped on the throttle... But then something happened...I wasn't very old when the first x-men movie hit theaters but I remember seeing it and thinking: ""Yes! they're back!"" A lot happened since then. For my part, the x-men trilogy (yes, the third included) carried marvels ambitions for the big screen. I know many people loved the spider-man movies. I absolutely hated them. The hulk was a BIG disappointment, I almost vomited out of sheer anger when I saw the fantastic four and I won't even mention the daredevil movie. I am one of the traitors who thinks batman begins is the best superhero movie ever made...at least until now...Iron man blew me away! it's as simple as that. Everything, and I mean everything, in this movie runs as smooth as a well-greased machine. The cast is nothing short of perfect and Robert Downey Jr. shines as the eccentric playboy turned superhero Tony Stark, Jeff Bridges is a brilliant villain and Gwyneth Paltrow gives just the right amount of female touch to the movie and the chemistry between her and Downey Jr. is amazing.The movie is perfectly balanced between fast-paced, explosive action and well-timed humor. The CG is amazing as it was the first time I was able to see a movie with sports cars of that caliber and think: ""F*ck the cars, give me the suit!"" The movie also functions well for the person who isn't as big a comic geek as yours truly. All comic book adaptations requires a bit of faith and suspension of disbelief as, let's face it, people with anger management issues don't turn big, green and very strong in the real world nor does people who are bitten by spiders get their abilities. But this looks like it could actually happen in a not so far away future.It isn't just a movie about a comic-book superhero beating the crap out of the bad boys. It is also about taking responsibility and having the courage and will to make changes even though it isn't always the easiest way to go. Do yourself a favor and see this movie, It will give you a good laugh and get your pulse pumping.This movie takes Marvel back in the race and with the new Hulk movie coming soon and the likes of Thor and Captain America following not far behind it looks like they're closing the distance.",1 May 2008," It doesn't get better than this people!
"
796,leeharris100,"I typically don't take the time to write something like this, but I can make an exception for Iron Man. I am a huge comic book fan, and so far many of the comic book movies have fallen somewhere between mediocre and downright crap. There are exceptions to this rule (Spiderman 1&2, X-Men 1&2, Batman Begins), but Iron Man dominates them all. Downey does an amazing job of portraying the character of Tony Stark and he delivers one liners like no one else can. The composition and editing in the movie is perfect and the pace felt spot on. On top of all this, the visuals and music were the best I've seen and heard yet.Let me put this in perspective for you: my girlfriend fell asleep during Batman Begins and she thought the Spiderman series was ""ok."" She loved Iron Man though and has recommended it to everyone she knows. For a girly girl like her and a comic book nerd like myself to enjoy it, it must be amazing ;).",4 May 2008," Amazing
"
797,PeterWorthers,"First off, I like Robert Downey Jr. He's a very versatile actor. Any role he is in is brilliant, (Heart and Souls being a favorite) and Iron Man is no exception. He delivers lines almost as if he were making them up as he went along. His playful banter with other characters and various machines and small bits of comedy make the film very enjoyable to watch, and the events surrounding his capture and the first half of the film hit too close to home, adding to the films realism. We get the small nods to the comic geeks (You know who you are, myself included) with a cameo by Stan ""the Man' and even Rhodes making a reference to a War Machine suit that could be in his future. Plus on a personal note, it was good to see the Air Force (of which I am a member) was all over this film, we haven't had this much screen time in a movie since Stargate and the Transformers. Plus we're the good guys again, its nice to see it again, I hate when we're the bad guys; but then again I AM partial. Plus, the Air Force knows when to step in and when to let Iron Man kick a bad guys ass. But I digress. This film is just what we needed to (1.) get the summer movie season off to a good start and (2.) restore our faith in Marvel comic movies. (Need I mention Ghost Rider, Elektra, Hulk,the Punisher, Blade:Trinity, Spiderman 3need I go on?) It is good to see we can go beyond the normal heroes like Batman and Superman to someone who has real depth as Stark does, not because hes a superhero but because he is a screwed up person with many, many flaws. In him we see ourselves, messed up, making constant mistakes but for some reason we want to do good and will try the best we can to make right our wrongs. I can't wait for the next one. Also, stay for a bit more movie after all the end credits are over with.",7 May 2008," Marvel Studios is off to a good start
"
798,jmarg,"First of all, I'd like to state that although I'm a comic books fan, I'm not that big on Iron Man; however, going to this movie completely exceeded my expectations.And what were they? Well, I looked forward to all the blockbuster trappings; big explosions, great special effects and since Robert Downey Jr. was in it (as well as some pretty decent actors) I assumed there'd be some _character_ in it as well. So far, even getting those things alone would have been worth the ticket price of admission.But the Iron Man movie went quite a bit further than that. The script for example was excellent - it used the normally rather boring origin part of a superhero's powers to actually both tell a story and advance the characters' points of view. We got to know Tony Stark in the process of him getting his armor - while, for example, Peter Parker being bitten by that spider gave us no insights on him.The humoristic elements similarly worked very well, dancing that line between slapstick and the movie taking itself too seriously. As bonus elements, 'real' (alright, for a comic book movie) engineering issues were more than referenced, they were true plot points - such as what portable power source could be adequate for such an energy-sucking armor, how extreme temperatures could affect its performance, or of course the obvious - how much does it weigh, and how could that be a problem in practical situations such as landing on a rooftop? I'm really happy this movie did well. We NEED to reward projects put together with such obvious enthusiasm for the material, or the studios come to think they can put any ol' crap with some special effects and a hot babe (I'm looking at you, Transformers!) and we'll go see it regardless. 10/10 from me for the best superhero movie made so far. Looking forward for the now inevitable sequel.",5 May 2008," Probably the best superhero movie
"
799,Joe Canton,"Iron Man is a one-two punch. It hits you with a great, imaginative story in the beginning and then turns into a action flick with many surprises and great dialogue. I know a lot of people say Downey is great, but he's more than great.....he IS Iron Man. The film's great direction, great dialogue(especially between Tony and Pepper Potts(Gwyneth Paltrow)) and a great comedic wit. The jokes went perfect and the crowd got the jokes and laughed. The action sequences generated the most ""ooh"" and ""aah""'s. The acts are all great, the first was generally story and his great escape with the Mark I. The second act was him coming home and working on the Iron Man. And the third, I might not even spoil it. Just watch the trailer before you leave, get there hyped and you'll enjoy it a lot. And be sure to stay after the credits, that will leave you satisfied. This movie is flawless. Overall- 10 out of 10",4 May 2008," Iron Man is the next Spider-Man
"
